"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",240213,2024-02-13,090741,CME ,00,090 ,  161519,   52150,   19486,     327,   47007,   58129,    3597,   14142,   41747,    3285,   10142,    2603,     626,  131276,  129800,   30243,   31719,    1401,    1551,   -9248,    -156,   -5696,    1540,     774,    4408,    3561,     794,     190,    -200,      59,    1924,   -2876,    -523,    4277,  100.0,   32.3,   12.1,    0.2,   29.1,   36.0,    2.2,    8.8,   25.8,    2.0,    6.3,    1.6,    0.4,   81.3,   80.4,   18.7,   19.6,    102,      8,      8,.,     14,     22,      6,     13,     28,     11,      5,      4,.,     52,     72,    47.5,    21.8,    57.1,    33.5,    47.5,    21.8,    56.1,    33.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",240206,2024-02-06,090741,CME ,00,090 ,  160118,   50599,   28734,     483,   52703,   56589,    2823,    9734,   38186,    2491,    9952,    2803,     567,  129352,  132676,   30766,   27442,     742,    1511,   -5832,     297,    6458,    1786,    -165,   -6875,     698,    1068,    -252,     926,     -34,    2008,   -1256,   -1266,    1998,  100.0,   31.6,   17.9,    0.3,   32.9,   35.3,    1.8,    6.1,   23.8,    1.6,    6.2,    1.8,    0.4,   80.8,   82.9,   19.2,   17.1,    103,      7,      7,.,     17,     23,      5,     10,     29,     10,      5,      5,.,     51,     70,    47.6,    25.4,    58.6,    37.0,    47.6,    25.4,    57.5,    36.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",240130,2024-01-30,090741,CME ,00,090 ,  159376,   49088,   34566,     186,   46245,   54803,    2988,   16609,   37488,    1423,   10204,    1877,     601,  127344,  133932,   32032,   25444,    4238,   -1540,    6948,    -764,    2491,   -1937,    -425,    3347,     923,    -145,     148,    -190,      -5,    3107,    4405,    1131,    -167,  100.0,   30.8,   21.7,    0.1,   29.0,   34.4,    1.9,   10.4,   23.5,    0.9,    6.4,    1.2,    0.4,   79.9,   84.0,   20.1,   16.0,    103,      5,      9,.,     17,     24,      7,     16,     22,      8,      6,      4,.,     53,     69,    45.8,    29.1,    55.8,    40.4,    45.8,    29.1,    54.3,    40.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",240123,2024-01-23,090741,CME ,00,090 ,  155138,   50628,   27618,     950,   43754,   56740,    3413,   13262,   36565,    1568,   10056,    2067,     606,  124237,  129527,   30901,   25611,  -10860,    1209,   -6218,     294,   -8598,    4236,    -286,   -1309,  -10073,    -319,      25,     212,      93,   -8891,  -12061,   -1969,    1201,  100.0,   32.6,   17.8,    0.6,   28.2,   36.6,    2.2,    8.5,   23.6,    1.0,    6.5,    1.3,    0.4,   80.1,   83.5,   19.9,   16.5,    100,      8,      4,.,     17,     24,      9,     17,     20,      9,      6,      4,.,     57,     65,    47.4,    29.5,    56.9,    41.2,    47.4,    29.5,    55.4,    41.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",240116,2024-01-16,090741,CME ,00,090 ,  165998,   49419,   33836,     656,   52352,   52504,    3699,   14571,   46638,    1887,   10031,    1855,     513,  133128,  141588,   32870,   24410,   -5559,    -376,   -6436,     650,   -2590,    7798,      92,   -4177,   -7696,       9,    1335,    -181,     -19,   -5076,   -5783,    -483,     224,  100.0,   29.8,   20.4,    0.4,   31.5,   31.6,    2.2,    8.8,   28.1,    1.1,    6.0,    1.1,    0.3,   80.2,   85.3,   19.8,   14.7,    107,      5,      8,.,     19,     23,      9,     15,     25,      9,      8,      4,.,     59,     69,    44.4,    27.8,    54.4,    39.0,    44.3,    27.8,    53.3,    38.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",240109,2024-01-09,090741,CME ,00,090 ,  171557,   49795,   40272,       6,   54942,   44706,    3607,   18748,   54334,    1878,    8696,    2036,     532,  138204,  147371,   33353,   24186,  -12919,   -1662,    8588,     -70,   -6555,   -3296,     248,   -3695,  -21807,     194,    -938,      21,     -44,  -12522,  -16166,    -397,    3247,  100.0,   29.0,   23.5,    0.0,   32.0,   26.1,    2.1,   10.9,   31.7,    1.1,    5.1,    1.2,    0.3,   80.6,   85.9,   19.4,   14.1,    103,      6,      7,.,     23,     17,      8,     15,     25,      9,      6,      4,.,     60,     64,    42.6,    29.9,    55.4,    41.9,    42.6,    29.9,    54.5,    41.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",240102,2024-01-02,090741,CME ,00,090 ,  184476,   51457,   31684,      76,   61497,   48002,    3359,   22443,   76141,    1684,    9634,    2015,     576,  150726,  163537,   33750,   20939,    8024,   -3095,   13446,    -314,   10599,   -2619,    -413,    1402,     941,     243,     241,    -583,     -33,    8630,   10668,    -606,   -2644,  100.0,   27.9,   17.2,    0.0,   33.3,   26.0,    1.8,   12.2,   41.3,    0.9,    5.2,    1.1,    0.3,   81.7,   88.6,   18.3,   11.4,    108,      6,      7,.,     23,     19,      9,     16,     24,      8,      9,      4,.,     66,     64,    39.2,    31.9,    52.2,    47.1,    39.2,    31.9,    52.1,    47.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",240213,2024-02-13,092741,CME ,00,092 ,   55069,   15629,    5736,      73,   16099,   21462,     344,   11084,    8203,     114,    1655,       0,       0,   44998,   35932,   10071,   19137,    5150,    2269,    -480,      18,    1942,    2689,    -249,    2820,    -128,      81,     417,       0,       0,    7298,    1931,   -2148,    3219,  100.0,   28.4,   10.4,    0.1,   29.2,   39.0,    0.6,   20.1,   14.9,    0.2,    3.0,    0.0,    0.0,   81.7,   65.2,   18.3,   34.8,     54,      7,      4,.,      7,     12,.,     12,      9,.,.,      0,      0,     31,     30,    39.3,    24.0,    56.3,    38.6,    39.2,    24.0,    56.0,    38.6,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",240206,2024-02-06,092741,CME ,00,092 ,   49919,   13360,    6216,      55,   14157,   18773,     593,    8264,    8331,      33,    1238,       0,       0,   37700,   34001,   12219,   15918,    2136,    2826,    -367,      14,     879,     873,      27,   -1461,    1357,       0,       0,       0,       0,    2285,    1904,    -149,     232,  100.0,   26.8,   12.5,    0.1,   28.4,   37.6,    1.2,   16.6,   16.7,    0.1,    2.5,    0.0,    0.0,   75.5,   68.1,   24.5,   31.9,     49,      6,      5,.,      6,     13,.,     10,      7,.,.,      0,      0,     27,     27,    43.1,    24.6,    56.5,    39.9,    43.0,    24.6,    56.4,    39.9,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",240130,2024-01-30,092741,CME ,00,092 ,   47783,   10534,    6583,      41,   13278,   17900,     566,    9725,    6974,      33,    1238,       0,       0,   35415,   32097,   12368,   15686,    -615,    1639,    -485,       0,    -860,    1145,      90,     422,   -1905,     -45,    -156,       0,       0,    1090,   -1200,   -1705,     585,  100.0,   22.0,   13.8,    0.1,   27.8,   37.5,    1.2,   20.4,   14.6,    0.1,    2.6,    0.0,    0.0,   74.1,   67.2,   25.9,   32.8,     50,      6,      5,.,      6,     12,.,     12,      7,.,.,      0,      0,     29,     25,    40.6,    25.3,    49.4,    40.4,    40.5,    25.3,    49.3,    40.4,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
