"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",240213,2024-02-13,001602,CBT ,00,001 ,  448418,  118524,  149767,  142975,  154389,  119372,  415888,  412114,   32530,   36304,  280108,  110440,  106820,   76564,   70156,   73979,  257161,  257363,   22948,   22745,  168310,   48693,   83556,   25802,   84233,   45393,  158728,  154751,    9583,   13559,  -20837,    3983,   -6371,  -14180,   -8252,    2075,  -18449,  -18476,   -2389,   -2361,  100.0,   26.4,   33.4,   31.9,   34.4,   26.6,   92.7,   91.9,    7.3,    8.1,  100.0,   39.4,   38.1,   27.3,   25.0,   26.4,   91.8,   91.9,    8.2,    8.1,  100.0,   28.9,   49.6,   15.3,   50.0,   27.0,   94.3,   91.9,    5.7,    8.1,    367,    112,    130,    150,    101,    100,    302,    298,    341,    116,    111,    112,     88,     86,    252,    263,    246,     77,     71,     68,     64,     72,    179,    175,    12.3,    11.8,    21.1,    19.5,    11.3,     8.8,    18.3,    14.5,    13.4,    12.6,    22.9,    20.7,    12.5,    12.0,    19.9,    19.3,    23.0,    25.3,    36.4,    38.3,    22.8,    25.2,    36.2,    36.6,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",240206,2024-02-06,001602,CBT ,00,001 ,  469256,  114540,  156138,  157156,  162641,  117297,  434337,  430590,   34919,   38665,  312914,  112057,  122593,   88084,   86949,   76330,  287090,  287008,   25824,   25906,  156342,   46468,   77530,   25086,   75692,   40967,  147247,  143583,    9095,   12759,   10075,    2860,    4830,    2811,    2854,    3547,    8526,   11189,    1549,   -1114,  100.0,   24.4,   33.3,   33.5,   34.7,   25.0,   92.6,   91.8,    7.4,    8.2,  100.0,   35.8,   39.2,   28.1,   27.8,   24.4,   91.7,   91.7,    8.3,    8.3,  100.0,   29.7,   49.6,   16.0,   48.4,   26.2,   94.2,   91.8,    5.8,    8.2,    370,    109,    127,    154,    102,     98,    303,    305,    350,    116,    118,    124,     88,     88,    259,    278,    245,     74,     74,     62,     65,     68,    172,    174,    12.2,    11.0,    20.5,    18.3,    10.5,     8.1,    16.8,    13.3,    11.9,    10.8,    21.0,    19.1,    10.7,    10.4,    17.3,    16.3,    23.3,    25.5,    37.0,    35.9,    23.1,    25.4,    36.7,    35.1,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",240130,2024-01-30,001602,CBT ,00,001 ,  459180,  111680,  151307,  154344,  159787,  113750,  425811,  419401,   33369,   39779,  314038,  114210,  123075,   88790,   85774,   74699,  288774,  286564,   25264,   27474,  145142,   40690,   71453,   22334,   74013,   39051,  137037,  132838,    8105,   12305,   -8390,   10584,    2795,  -15360,   -3498,    3277,   -8274,   -9288,    -115,     898,  100.0,   24.3,   33.0,   33.6,   34.8,   24.8,   92.7,   91.3,    7.3,    8.7,  100.0,   36.4,   39.2,   28.3,   27.3,   23.8,   92.0,   91.3,    8.0,    8.7,  100.0,   28.0,   49.2,   15.4,   51.0,   26.9,   94.4,   91.5,    5.6,    8.5,    361,    103,    125,    145,    103,     96,    298,    289,    342,    118,    109,    117,     89,     87,    257,    263,    233,     61,     76,     51,     64,     67,    159,    163,    12.0,    11.5,    20.3,    19.2,    10.4,     8.2,    16.3,    13.3,    11.8,    11.2,    20.5,    19.5,     9.8,    10.2,    16.2,    16.5,    23.9,    28.3,    38.6,    38.1,    23.7,    28.0,    38.4,    35.9,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",240123,2024-01-23,001602,CBT ,00,001 ,  467570,  101096,  148512,  169704,  163286,  110473,  434086,  428689,   33485,   38881,  321115,  106815,  121383,  100975,   88023,   71797,  295813,  294156,   25302,   26959,  146456,   41276,   74124,   21734,   75263,   38676,  138273,  134534,    8183,   11922,    9061,   -1384,   -3821,   11556,   -1605,    1885,    8568,    9621,     493,    -561,  100.0,   21.6,   31.8,   36.3,   34.9,   23.6,   92.8,   91.7,    7.2,    8.3,  100.0,   33.3,   37.8,   31.4,   27.4,   22.4,   92.1,   91.6,    7.9,    8.4,  100.0,   28.2,   50.6,   14.8,   51.4,   26.4,   94.4,   91.9,    5.6,    8.1,    366,    105,    120,    141,    112,    103,    301,    294,    346,    116,    108,    112,     98,     92,    263,    263,    234,     61,     72,     51,     67,     71,    159,    165,    10.7,    12.1,    18.9,    19.6,     8.5,     7.8,    14.0,    12.8,    11.4,    11.5,    19.1,    19.7,     8.1,     9.8,    13.8,    16.1,    24.0,    28.6,    38.5,    39.2,    23.8,    28.3,    38.3,    35.7,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",240116,2024-01-16,001602,CBT ,00,001 ,  458510,  102480,  152333,  158148,  164890,  108588,  425518,  419068,   32992,   39442,  315753,  110381,  126324,   90046,   90366,   71352,  290794,  287723,   24960,   28031,  142756,   38657,   72567,   21543,   74524,   37236,  134724,  131346,    8032,   11411,   31203,    3566,   14529,   11918,   14279,    5079,   29763,   31526,    1439,    -323,  100.0,   22.4,   33.2,   34.5,   36.0,   23.7,   92.8,   91.4,    7.2,    8.6,  100.0,   35.0,   40.0,   28.5,   28.6,   22.6,   92.1,   91.1,    7.9,    8.9,  100.0,   27.1,   50.8,   15.1,   52.2,   26.1,   94.4,   92.0,    5.6,    8.0,    366,    108,    124,    138,    111,    101,    299,    293,    346,    113,    110,    113,     99,     95,    262,    270,    224,     62,     67,     47,     64,     65,    155,    152,    10.5,    11.9,    18.5,    19.8,     8.7,     7.6,    14.3,    13.1,    11.3,    11.4,    19.8,    19.9,     8.2,     9.9,    15.2,    16.5,    24.0,    29.2,    39.1,    41.5,    23.9,    28.9,    39.1,    37.5,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",240109,2024-01-09,001602,CBT ,00,001 ,  427307,   98913,  137803,  146230,  150611,  103508,  395754,  387542,   31552,   39765,  294217,  104441,  115152,   83722,   81849,   66835,  270011,  265709,   24206,   28509,  133090,   38053,   66232,   18928,   68762,   36674,  125744,  121833,    7346,   11257,   11250,   -1365,    -911,    9035,    1434,   -1130,    9104,    6994,    2146,    4257,  100.0,   23.1,   32.2,   34.2,   35.2,   24.2,   92.6,   90.7,    7.4,    9.3,  100.0,   35.5,   39.1,   28.5,   27.8,   22.7,   91.8,   90.3,    8.2,    9.7,  100.0,   28.6,   49.8,   14.2,   51.7,   27.6,   94.5,   91.5,    5.5,    8.5,    357,    111,    115,    145,    108,    102,    300,    291,    339,    115,    104,    112,     98,     98,    261,    267,    222,     60,     67,     49,     60,     65,    149,    155,    10.5,    12.3,    19.0,    20.3,     9.0,     7.8,    15.3,    13.3,    11.9,    11.6,    21.0,    19.6,     9.1,    10.4,    16.2,    17.1,    23.5,    29.8,    39.2,    41.3,    23.4,    29.6,    39.1,    37.5,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",240102,2024-01-02,001602,CBT ,00,001 ,  416057,  100279,  138715,  137195,  149176,  104639,  386650,  380548,   29406,   35508,  293534,  107366,  120686,   76482,   86762,   70607,  270610,  267775,   22924,   25758,  122523,   35292,   60407,   18335,   62414,   34031,  116040,  112773,    6483,    9750,    3510,    4573,    5665,   -1607,    2303,    1318,    5269,    5376,   -1759,   -1866,  100.0,   24.1,   33.3,   33.0,   35.9,   25.1,   92.9,   91.5,    7.1,    8.5,  100.0,   36.6,   41.1,   26.1,   29.6,   24.1,   92.2,   91.2,    7.8,    8.8,  100.0,   28.8,   49.3,   15.0,   50.9,   27.8,   94.7,   92.0,    5.3,    8.0,    359,    112,    117,    146,    105,    101,    301,    290,    342,    110,    112,    116,     93,     98,    264,    269,    218,     51,     69,     50,     60,     66,    144,    157,    10.3,    12.8,    19.1,    20.6,     8.8,     7.8,    14.7,    13.8,    12.0,    10.9,    21.2,    19.5,     9.2,    10.4,    16.7,    17.4,    24.4,    31.3,    40.5,    43.1,    24.4,    31.0,    40.5,    39.6,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",240213,2024-02-13,001612,CBT ,00,001 ,  270086,   63186,   91865,   69844,  115393,   84708,  248423,  246417,   21662,   23669,  164479,   58604,   68039,   35775,   56556,   45104,  150935,  148918,   13544,   15561,  105607,   22143,   41386,   16509,   58837,   39603,   97489,   97499,    8118,    8108,    3949,    -151,    5321,   -9479,   12112,    5647,    2482,    1489,    1467,    2460,  100.0,   23.4,   34.0,   25.9,   42.7,   31.4,   92.0,   91.2,    8.0,    8.8,  100.0,   35.6,   41.4,   21.8,   34.4,   27.4,   91.8,   90.5,    8.2,    9.5,  100.0,   21.0,   39.2,   15.6,   55.7,   37.5,   92.3,   92.3,    7.7,    7.7,    221,     60,     66,     73,     74,     73,    177,    177,    199,     61,     58,     49,     57,     56,    143,    140,    171,     40,     47,     38,     61,     59,    124,    124,    18.1,    15.4,    28.4,    26.3,    14.1,    12.2,    20.9,    20.2,    19.4,    20.9,    32.3,    33.9,    14.9,    19.2,    25.7,    30.3,    21.1,    19.4,    34.6,    32.9,    16.9,    17.9,    25.5,    28.8,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",240206,2024-02-06,001612,CBT ,00,001 ,  266137,   63337,   86544,   79323,  103281,   79061,  245941,  244928,   20196,   21209,  170970,   65979,   71457,   43433,   48461,   42628,  157873,  157518,   13098,   13452,   95166,   17646,   35375,   15602,   54821,   36433,   88069,   87410,    7098,    7757,   13927,    2525,    4943,    3816,    7670,    6073,   14011,   14832,     -84,    -905,  100.0,   23.8,   32.5,   29.8,   38.8,   29.7,   92.4,   92.0,    7.6,    8.0,  100.0,   38.6,   41.8,   25.4,   28.3,   24.9,   92.3,   92.1,    7.7,    7.9,  100.0,   18.5,   37.2,   16.4,   57.6,   38.3,   92.5,   91.8,    7.5,    8.2,    215,     66,     61,     70,     68,     72,    171,    171,    200,     66,     55,     53,     56,     64,    146,    148,    156,     40,     42,     31,     57,     52,    113,    110,    17.4,    14.5,    27.4,    25.7,    13.9,    12.1,    21.0,    20.0,    20.2,    19.4,    33.4,    33.4,    16.4,    18.9,    28.4,    31.0,    20.9,    20.2,    36.7,    34.1,    16.4,    18.7,    25.7,    30.8,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",240130,2024-01-30,001612,CBT ,00,001 ,  252209,   60812,   81601,   75507,   95611,   72987,  231930,  230095,   20279,   22114,  168638,   68744,   71026,   40048,   45625,   42133,  154418,  153207,   14220,   15430,   83572,   13888,   32395,   13638,   49986,   30855,   77512,   76888,    6059,    6684,   10530,    4311,   -2342,    4475,     898,    7560,    9684,    9692,     845,     838,  100.0,   24.1,   32.4,   29.9,   37.9,   28.9,   92.0,   91.2,    8.0,    8.8,  100.0,   40.8,   42.1,   23.7,   27.1,   25.0,   91.6,   90.8,    8.4,    9.1,  100.0,   16.6,   38.8,   16.3,   59.8,   36.9,   92.7,   92.0,    7.3,    8.0,    208,     64,     57,     70,     67,     69,    168,    165,    194,     65,     50,     51,     55,     60,    142,    140,    147,     37,     39,     31,     51,     50,    104,    107,    17.6,    15.2,    27.7,    25.9,    14.6,    13.1,    22.0,    20.6,    18.8,    19.9,    32.7,    33.9,    16.5,    19.8,    28.9,    31.2,    23.3,    20.2,    39.1,    34.0,    18.7,    18.9,    29.2,    28.3,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
